date,mean_temp_ns,mean_temp_int
2024-08-10,15.442499999999999,13.456129629629629
2024-08-11,14.947166666666666,13.332648148148149
2024-08-12,15.243333333333334,13.307055555555555
2024-08-13,15.406,13.221666666666666
2024-08-14,15.2785,12.84737037037037
2024-08-15,14.981166666666667,12.536277777777778
2024-08-16,15.032,12.911833333333334
2024-08-17,15.318833333333334,12.975296296296296
2024-08-18,14.903,12.884722222222223
2024-08-19,15.666,13.103592592592593
2024-08-20,15.441333333333333,13.350685185185185
2024-08-21,15.492,13.117037037037036
2024-08-22,14.627,12.864984126984128
2024-08-23,14.322333333333333,12.560925925925925
2024-08-24,14.485833333333334,12.615092592592593
2024-08-25,14.496833333333333,12.497444444444444
2024-08-26,14.488166666666666,12.6865
2024-08-27,14.675833333333333,12.637962962962963
2024-08-28,15.139666666666667,12.915777777777778
2024-08-29,15.222,12.831277777777778
2024-08-30,15.575833333333334,12.719166666666666
2024-08-31,15.290666666666667,12.680592592592593
2024-09-01,15.208333333333334,13.06337037037037
2024-09-02,14.866833333333334,12.95038888888889
2024-09-03,15.154166666666667,12.913351851851852
2024-09-04,15.198333333333334,12.63024074074074
2024-09-05,13.568571428571428,12.68684126984127
2024-09-06,14.017333333333333,12.725111111111111
2024-09-07,14.2875,12.464339622641509
2024-09-08,13.8675,12.191773584905661
2024-09-09,13.34,11.960092592592593
2024-09-10,13.2445,11.922222222222222
2024-09-11,13.431666666666667,11.883074074074074
2024-09-12,13.2245,12.218018867924528
2024-09-13,13.0695,12.278222222222222
2024-09-14,13.1605,12.161592592592593
2024-09-15,13.106,11.868777777777778
2024-09-16,12.600999999999999,11.372314814814814
2024-09-17,12.541666666666666,11.360388888888888
2024-09-18,11.862,11.33437037037037
2024-09-19,11.71342857142857,11.187967741935484
2024-09-20,12.015666666666666,10.994094339622642
2024-09-21,11.764666666666667,10.471792452830188
2024-09-22,11.486333333333333,10.625962962962962
2024-09-23,12.079333333333333,10.82132075471698
2024-09-24,12.153833333333333,10.563185185185185
2024-09-25,12.415666666666667,10.764037037037037
2024-09-26,12.533166666666666,10.888685185185185
2024-09-27,12.5005,10.73412962962963
2024-09-28,12.865833333333333,11.019814814814815
2024-09-29,13.132666666666667,11.154222222222222
2024-09-30,13.190833333333334,11.678703703703704
2024-10-01,13.069333333333333,11.857056603773586
2024-10-02,12.958833333333333,11.970641509433962
2024-10-03,12.791571428571428,11.942444444444444
2024-10-04,12.587666666666667,12.008018518518519
2024-10-05,12.391,12.153134615384616
2024-10-06,12.390166666666666,12.196264150943396
2024-10-07,12.430333333333333,12.16377358490566
2024-10-08,12.302,12.030584905660378
2024-10-09,12.137,11.875961538461539
2024-10-10,12.0015,11.72551923076923
2024-10-11,12.172,11.77912962962963
2024-10-12,12.0175,11.661851851851852
2024-10-13,11.977,11.61966037735849
2024-10-14,12.007833333333334,11.63901923076923
2024-10-15,11.995166666666666,11.520296296296296
