dateTime,parameter,value,code
2026-05-15T09:10:00Z,gauge_ht_ft,8.68,P
2026-05-15T09:10:00Z,specCond_uscm,56,P
2026-05-15T09:10:00Z,pH,7.8,P
2026-05-15T09:10:00Z,chla_rfu,1.2,P
2026-05-15T09:10:00Z,turb_NTU,1.2,P
2026-05-15T09:10:00Z,X_72255,0.38,P
2026-05-15T09:20:00Z,temp_C,8.1,P
2026-05-15T09:20:00Z,flow_cfs,189,P
2026-05-15T09:20:00Z,gauge_ht_ft,8.68,P
2026-05-15T09:20:00Z,specCond_uscm,56,P
2026-05-15T09:20:00Z,pH,7.7,P
2026-05-15T09:20:00Z,chla_rfu,1.32,P
2026-05-15T09:20:00Z,turb_NTU,1.2,P
2026-05-15T09:20:00Z,X_72255,0.34,P
2026-05-15T09:30:00Z,temp_C,8.1,P
2026-05-15T09:30:00Z,flow_cfs,178,P
2026-05-15T09:30:00Z,gauge_ht_ft,8.68,P
2026-05-15T09:30:00Z,specCond_uscm,56,P
2026-05-15T09:30:00Z,pH,7.7,P
2026-05-15T09:30:00Z,chla_rfu,1.99,P
2026-05-15T09:30:00Z,turb_NTU,1.2,P
2026-05-15T09:30:00Z,X_72255,0.32,P
2026-05-15T09:40:00Z,temp_C,8.1,P
2026-05-15T09:40:00Z,flow_cfs,149,P
2026-05-15T09:40:00Z,gauge_ht_ft,8.68,P
2026-05-15T09:40:00Z,specCond_uscm,56,P
2026-05-15T09:40:00Z,pH,7.7,P
2026-05-15T09:40:00Z,chla_rfu,1.21,P
2026-05-15T09:40:00Z,turb_NTU,1.2,P
2026-05-15T09:40:00Z,X_72255,0.27,P
2026-05-15T09:50:00Z,temp_C,8.1,P
2026-05-15T09:50:00Z,flow_cfs,172,P
2026-05-15T09:50:00Z,gauge_ht_ft,8.68,P
2026-05-15T09:50:00Z,specCond_uscm,56,P
2026-05-15T09:50:00Z,pH,7.7,P
2026-05-15T09:50:00Z,chla_rfu,6.05,P
2026-05-15T09:50:00Z,turb_NTU,1.2,P
2026-05-15T09:50:00Z,X_72255,0.31,P
2026-05-15T10:00:00Z,temp_C,8,P
2026-05-15T10:00:00Z,flow_cfs,155,P
2026-05-15T10:00:00Z,gauge_ht_ft,8.68,P
2026-05-15T10:00:00Z,specCond_uscm,56,P
2026-05-15T10:00:00Z,pH,7.7,P
2026-05-15T10:00:00Z,chla_rfu,1.44,P
2026-05-15T10:00:00Z,turb_NTU,1.1,P
2026-05-15T10:00:00Z,X_72255,0.28,P
2026-05-15T10:10:00Z,temp_C,8,P
2026-05-15T10:10:00Z,flow_cfs,172,P
2026-05-15T10:10:00Z,gauge_ht_ft,8.67,P
2026-05-15T10:10:00Z,specCond_uscm,56,P
2026-05-15T10:10:00Z,pH,7.7,P
2026-05-15T10:10:00Z,chla_rfu,1.14,P
2026-05-15T10:10:00Z,turb_NTU,1.1,P
2026-05-15T10:10:00Z,X_72255,0.31,P
2026-05-15T10:20:00Z,temp_C,8,P
2026-05-15T10:20:00Z,flow_cfs,172,P
2026-05-15T10:20:00Z,gauge_ht_ft,8.67,P
2026-05-15T10:20:00Z,specCond_uscm,56,P
2026-05-15T10:20:00Z,pH,7.7,P
2026-05-15T10:20:00Z,chla_rfu,1.27,P
2026-05-15T10:20:00Z,turb_NTU,1.2,P
2026-05-15T10:20:00Z,X_72255,0.31,P
2026-05-15T10:30:00Z,temp_C,8,P
2026-05-15T10:30:00Z,flow_cfs,160,P
2026-05-15T10:30:00Z,gauge_ht_ft,8.67,P
2026-05-15T10:30:00Z,specCond_uscm,56,P
2026-05-15T10:30:00Z,pH,7.7,P
2026-05-15T10:30:00Z,chla_rfu,1.25,P
2026-05-15T10:30:00Z,turb_NTU,1.2,P
2026-05-15T10:30:00Z,X_72255,0.29,P
2026-05-15T10:40:00Z,temp_C,8,P
2026-05-15T10:40:00Z,flow_cfs,166,P
2026-05-15T10:40:00Z,gauge_ht_ft,8.67,P
2026-05-15T10:40:00Z,specCond_uscm,56,P
2026-05-15T10:40:00Z,pH,7.7,P
2026-05-15T10:40:00Z,chla_rfu,1.24,P
2026-05-15T10:40:00Z,turb_NTU,1.1,P
2026-05-15T10:40:00Z,X_72255,0.3,P
2026-05-15T10:50:00Z,temp_C,8,P
2026-05-15T10:50:00Z,flow_cfs,166,P
2026-05-15T10:50:00Z,gauge_ht_ft,8.67,P
2026-05-15T10:50:00Z,specCond_uscm,56,P
2026-05-15T10:50:00Z,pH,7.7,P
2026-05-15T10:50:00Z,chla_rfu,1.33,P
2026-05-15T10:50:00Z,turb_NTU,1.3,P
2026-05-15T10:50:00Z,X_72255,0.3,P
2026-05-15T11:00:00Z,temp_C,7.9,P
2026-05-15T11:00:00Z,flow_cfs,132,P
2026-05-15T11:00:00Z,gauge_ht_ft,8.67,P
2026-05-15T11:00:00Z,specCond_uscm,56,P
2026-05-15T11:00:00Z,pH,7.7,P
2026-05-15T11:00:00Z,chla_rfu,1.36,P
2026-05-15T11:00:00Z,turb_NTU,1.2,P
2026-05-15T11:00:00Z,X_72255,0.24,P
2026-05-15T11:10:00Z,temp_C,7.9,P
2026-05-15T11:10:00Z,flow_cfs,155,P
2026-05-15T11:10:00Z,gauge_ht_ft,8.67,P
2026-05-15T11:10:00Z,specCond_uscm,56,P
2026-05-15T11:10:00Z,pH,7.7,P
2026-05-15T11:10:00Z,chla_rfu,1.38,P
2026-05-15T11:10:00Z,turb_NTU,1.2,P
2026-05-15T11:10:00Z,X_72255,0.28,P
2026-05-15T11:20:00Z,temp_C,7.9,P
2026-05-15T11:20:00Z,flow_cfs,154,P
2026-05-15T11:20:00Z,gauge_ht_ft,8.66,P
2026-05-15T11:20:00Z,specCond_uscm,56,P
2026-05-15T11:20:00Z,pH,7.7,P
2026-05-15T11:20:00Z,chla_rfu,1.28,P
2026-05-15T11:20:00Z,turb_NTU,1.2,P
2026-05-15T11:20:00Z,X_72255,0.28,P
2026-05-15T11:30:00Z,temp_C,7.9,P
2026-05-15T11:30:00Z,flow_cfs,166,P
2026-05-15T11:30:00Z,gauge_ht_ft,8.66,P
2026-05-15T11:30:00Z,specCond_uscm,56,P
2026-05-15T11:30:00Z,pH,7.7,P
2026-05-15T11:30:00Z,chla_rfu,0.88,P
